Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
M O'Dowd,36,9,12.4,0,119,3,39.66,9.39,25.3,0,0
H Overdijk,4,3,8,0,72,3,24,9,16,0,0
J Perman,2,2,8,0,41,3,13.66,5.12,16,0,0
R Pisal,1,1,3,0,4,3,1.33,1.33,6,0,0
D Pretorius,6,6,14,0,116,3,38.66,8.28,28,0,0
R Adeel,3,3,11,0,36,3,12,3.27,22,0,0
K Ratilal,3,3,12,0,61,3,20.33,5.08,24,0,0
W Robertson,6,6,18.1,1,101,3,33.66,5.55,36.3,0,0
M Sert,4,4,10,0,93,3,31,9.3,20,0,0
S Khan,6,6,20,0,140,3,46.66,7,40,0,0
S Ali,5,5,15.3,0,129,3,43,8.32,31,0,0
D Short,20,9,19,0,151,3,50.33,7.94,38,0,0
S Zulfiqar,11,7,10,0,79,3,26.33,7.9,20,0,0
K Silva,3,2,3,0,18,3,6,6,6,0,0
M Simpson-Parker,3,3,5,0,40,3,13.33,8,10,0,0
S Singh,4,4,11,0,110,3,36.66,10,22,0,0
D Smith,4,4,11,0,89,3,29.66,8.09,22,0,0
A Srivastav,4,3,8,0,73,3,24.33,9.12,16,0,0
H Ssenyondo,4,3,10,0,48,3,16,4.8,20,0,0
S Sadiq,2,2,6,0,45,3,15,7.5,12,0,0
S Idrus,2,2,7,0,64,3,21.33,9.14,14,0,0
T Dar,4,4,14,0,128,3,42.66,9.14,28,0,0
T Ahmed,5,5,13.3,0,116,3,38.66,8.59,27,0,0
S Taylor,8,5,13,1,70,3,23.33,5.38,26,0,0
S Tiai,4,4,11,0,82,3,27.33,7.45,22,0,0
B Tickner,3,3,12,0,109,3,36.33,9.08,24,0,0
A Turner,11,3,6,0,42,3,14,7,12,0,0
V Singh,4,4,16,1,90,3,30,5.62,32,0,0
V Singh,12,8,17.2,0,135,3,45,7.78,34.6,0,0
S Whittingham,3,3,10,0,79,3,26.33,7.9,20,0,0
S Wickramasekara,5,5,15.3,1,93,3,31,6,31,0,0
Z Hassan,3,3,9,0,56,3,18.66,6.22,18,0,0
C Zavoiu,3,1,1,0,4,3,1.33,4,2,0,0
Z Haider,5,5,13,0,60,3,20,4.61,26,0,0
A Yamin,2,2,6,0,37,2,18.5,6.16,18,0,0
A Jones,8,3,7,0,28,2,14,4,21,0,0
A Achar,3,3,6,0,44,2,22,7.33,18,0,0
A Hassan,11,5,7.3,0,81,2,40.5,10.8,22.5,0,0
A Naqi,4,4,10,0,65,2,32.5,6.5,30,0,0
A Uddin,6,2,2.3,0,14,2,7,5.6,7.5,0,0
D Ankrah,4,4,12,1,85,2,42.5,7.08,36,0,0
A Mustafizur,2,1,3,0,30,2,15,10,9,0,0
A Ilyas,22,4,9,0,59,2,29.5,6.55,27,0,0
S Arachchige,4,4,6,0,42,2,21,7,18,0,0
J Archer,1,1,4,0,29,2,14.5,7.25,12,0,0
A Ahmed,12,2,6,0,34,2,17,5.66,18,0,0
A Kamal,4,4,14,0,90,2,45,6.42,42,0,0
A Mohammad,3,3,12,0,84,2,42,7,36,0,0
M Bacarese,3,3,12,0,51,2,25.5,4.25,36,0,0
J Ball,2,2,7,0,83,2,41.5,11.85,21,0,0
G Banner,3,1,3.3,0,10,2,5,2.85,10.5,0,0
W Barresi,42,3,5.4,0,49,2,24.5,8.64,17,0,0
P Chandran,3,2,4,0,45,2,22.5,11.25,12,0,0
F Cossa,6,5,14,0,110,2,55,7.85,42,0,0
D Ahir,2,2,3,0,27,2,13.5,9,9,0,0
N Patel,3,3,10,0,42,2,21,4.2,30,0,0
K Dorji,2,2,7,0,69,2,34.5,9.85,21,0,0
E Nawaz,5,5,7.4,0,79,2,39.5,10.3,23,0,0
F Mohon,4,4,14,2,85,2,42.5,6.07,42,0,0
V Ganesan,4,4,9,1,44,2,22,4.88,27,0,0
D Gim,6,4,6,0,65,2,32.5,10.83,18,0,0
H Farooq,4,1,2,0,14,2,7,7,6,0,0
L Harrington-Myers,4,2,4,0,26,2,13,6.5,12,0,0
I Ashraf,3,3,9,0,78,2,39,8.66,27,0,0
J Jojo,7,5,17,0,98,2,49,5.76,51,0,0
J Sheikh,5,5,16,1,104,2,52,6.5,48,0,0
D Kegasitswe,4,3,12,0,156,2,78,13,36,0,0
A Kitchen,5,3,6,0,46,2,23,7.66,18,0,0
K Lal,8,4,9,0,100,2,50,11.11,27,0,0
L Ali,2,2,7,1,40,2,20,5.71,21,0,0
D Madushanka,2,2,5.1,0,62,2,31,12,15.5,0,0
R Mahajan,3,3,10,0,93,2,46.5,9.3,30,0,0
P Manning,6,4,8,0,53,2,26.5,6.62,24,0,0
B Masaba,1,1,4,0,14,2,7,3.5,12,0,0
H Masakadza,66,9,12,0,113,2,56.5,9.41,36,0,0
B Mavuta,3,3,12,0,81,2,40.5,6.75,36,0,0
Z McLaughlin,3,3,7.1,0,54,2,27,7.53,21.5,0,0
M Taiwo,2,2,8,0,41,2,20.5,5.12,24,0,0
M Adnan,5,5,17,0,120,2,60,7.05,51,0,0
M Hub,4,3,9,0,39,2,19.5,4.33,27,0,0
M Rafique,2,2,5,0,63,2,31.5,12.6,15,0,0
S Murari,3,3,10,0,52,2,26,5.2,30,0,0
L Musiani,5,4,15,1,69,2,34.5,4.6,45,0,0
R Ngarava,1,1,4,0,48,2,24,12,12,0,0
F Nsubuga,3,3,8,0,46,2,23,5.75,24,0,0
L Nussbaumer,1,1,4,0,44,2,22,11,12,0,0
E Packard,4,4,11,0,79,2,39.5,7.18,33,0,0
N Param,8,3,8,0,55,2,27.5,6.87,24,0,0
H Patel,7,5,13,0,104,2,52,8,39,0,0
N Pathan,4,4,6,0,60,2,30,10,18,0,0
R Powell,23,4,8,0,74,2,37,9.25,24,0,0
A Pusthay,5,4,10,0,90,2,45,9,30,0,0
S Rakshit,7,5,12.5,0,99,2,49.5,7.71,38.5,0,0
S Ravikumar,3,3,6.2,0,56,2,28,8.84,19,0,0
S Runsewe,6,2,2.3,0,23,2,11.5,9.2,7.5,0,0
S Khan,3,3,12,0,63,2,31.5,5.25,36,0,0
T Saha,4,4,10,0,88,2,44,8.8,30,0,0
S Liaqat,2,2,8,0,72,2,36,9,24,0,0
S Goud,12,2,6,0,48,2,24,8,18,0,0
S Zulfiqar,6,4,9,0,61,2,30.5,6.77,27,0,0
S Ali,2,2,7,0,36,2,18,5.14,21,0,0
S Ali,4,3,8,0,60,2,30,7.5,24,0,0
P Sarraf,9,6,11,1,58,2,29,5.27,33,0,0
S Muhammad,2,2,7,1,21,2,10.5,3,21,0,0
L Simango,3,3,6.1,0,55,2,27.5,8.91,18.5,0,0
O Smith,2,2,7,0,78,2,39,11.14,21,0,0
C Sole,4,4,16,0,141,2,70.5,8.81,48,0,0
A Stephen,2,2,7,0,29,2,14.5,4.14,21,0,0
M Swepson,1,1,4,0,37,2,18.5,9.25,12,0,0
T Taylor,6,4,9,0,74,2,37,8.22,27,0,0
T Turan,4,3,8.1,0,111,2,55.5,13.59,24.5,0,0
S Vashisht,3,3,9,1,31,2,15.5,3.44,27,0,0
W Maqsood,1,1,1.5,0,21,2,10.5,11.45,5.5,0,0
C Wright,6,4,7,0,53,2,26.5,7.57,21,0,0
H France,6,6,13,0,82,2,41,6.3,39,0,0
Z Tashnam,3,2,8,1,35,2,17.5,4.37,24,0,0
S Zargar,1,1,3,0,22,2,11,7.33,9,0,0
Z Rahman,1,1,4,0,42,2,21,10.5,12,0,0
A Idrees,6,3,7,0,67,1,67,9.57,42,0,0
N Advani,1,1,3,0,12,1,12,4,18,0,0
A (2),1,1,1,0,10,1,10,10,6,0,0
J Allen,2,2,2,0,19,1,19,9.5,12,0,0
T Allen,5,2,3,0,28,1,28,9.33,18,0,0
A Mangal,9,5,6.4,0,57,1,57,8.55,40,0,0
A Haque,9,1,1,0,13,1,13,13,6,0,0
B Arora,4,4,11.1,0,75,1,75,6.71,67,0,0
A Mohammad,9,8,24,0,158,1,158,6.58,144,0,0
A Afghan,66,1,0.4,0,4,1,4,6,4,0,0
A Banner,3,2,8,0,39,1,39,4.87,48,0,0
S Bhudia,4,4,9,0,63,1,63,7,54,0,0
C Blake,3,3,8,0,49,1,49,6.12,48,0,0
D Brangman,5,5,7,0,84,1,84,12,42,0,0
A Carthew,4,1,2,0,19,1,19,9.5,12,0,0
R Chahar,1,1,3,0,27,1,27,9,18,0,0
C Singh,3,2,5,0,35,1,35,7,30,0,0
M Crane,2,2,8,0,62,1,62,7.75,48,0,0
H Dajc,2,1,4,0,36,1,36,9,24,0,0
M Dixit,3,3,9,0,93,1,93,10.33,54,0,0
K Ebanks,5,5,11,0,104,1,104,9.45,66,0,0
F Khan,4,1,2,0,21,1,21,10.5,12,0,0
F Ahmad,3,3,5,0,56,1,56,11.2,30,0,0
K Flowers,3,1,2,0,16,1,16,8,12,0,0
