,Date,Team1Players,Team2Players,DreamTeamPlayers
43,2022-04-19,"A Rawat,F Plessis,V Kohli,G Maxwell,S Prabhudessai,S Ahmed,K Karthik,H Patel,P Silva,J Hazlewood,M Siraj","Q Kock,K Rahul,M Pandey,K Pandya,D Hooda,A Badoni,M Stoinis,J Holder,P Chameera,R Bishnoi,A Khan",
44,2022-04-18,"J Buttler,D Padikkal,S Samson,S Hetmyer,R Parag,K Nair,R Ashwin,T Boult,O McCoy,M Krishna,Y Chahal","A Finch,S Narine,S Iyer,N Rana,A Russell,V Iyer,S Jackson,S Mavi,P Cummins,U Yadav,C Varun",
45,2022-04-17,"R Gaikwad,R Uthappa,M Ali,A Rayudu,S Dube,R Jadeja,M Dhoni,D Bravo,C Jordan,M Theekshana,M Choudhary","W Saha,S Gill,V Shankar,A Manohar,D Miller,R Tewatia,R Khan,A Joseph,L Ferguson,M Shami,Y Dayal",
46,2022-04-17,"S Dhawan,P Singh,J Bairstow,L Livingstone,J Sharma,M Khan,O Smith,K Rabada,R Chahar,V Arora,A Singh","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,S Singh,J Suchith,B Kumar,M Jansen,T Natarajan,U Malik",
47,2022-04-16,"F Plessis,A Rawat,V Kohli,G Maxwell,S Prabhudessai,S Ahmed,K Karthik,P Silva,M Siraj,H Patel,J Hazlewood","P Shaw,D Warner,M Marsh,R Pant,R Powell,L Yadav,S Thakur,A Patel,K Yadav,M Rahman,K Ahmed",
48,2022-04-16,"K Rahul,Q Kock,M Pandey,M Stoinis,D Hooda,K Pandya,A Badoni,J Holder,P Chameera,A Khan,R Bishnoi","I Kishan,R Sharma,D Brevis,S Yadav,T Varma,K Pollard,F Allen,J Unadkat,M Ashwin,J Bumrah,T Mills",
49,2022-04-15,"V Iyer,A Finch,S Iyer,S Narine,N Rana,S Jackson,A Russell,P Cummins,A Khan,U Yadav,C Varun","A Sharma,K Williamson,R Tripathi,A Markram,N Pooran,S Singh,J Suchith,M Jansen,B Kumar,T Natarajan,U Malik",
50,2022-04-14,"M Wade,S Gill,V Shankar,H Pandya,A Manohar,D Miller,R Tewatia,R Khan,M Shami,L Ferguson,Y Dayal","J Buttler,D Padikkal,R Ashwin,S Samson,H Dussen,S Hetmyer,R Parag,J Neesham,M Krishna,Y Chahal,K Sen",
51,2022-04-13,"M Agarwal,S Dhawan,J Bairstow,L Livingstone,J Sharma,M Khan,O Smith,K Rabada,R Chahar,V Arora,A Singh","R Sharma,I Kishan,D Brevis,T Varma,S Yadav,K Pollard,J Unadkat,M Ashwin,J Bumrah,T Mills,B Thampi",
52,2022-04-12,"R Gaikwad,R Uthappa,M Ali,S Dube,R Jadeja,M Dhoni,A Rayudu,D Bravo,C Jordan,M Theekshana,M Choudhary","F Plessis,A Rawat,V Kohli,G Maxwell,S Ahmed,S Prabhudessai,K Karthik,P Silva,A Deep,M Siraj,J Hazlewood",
